range,values
'Cotizaciones'!M4985,[[0.92]]
'Cotizaciones'!F4986,[['Z1INSSO10']]
'Cotizaciones'!M4986,[[1.0]]
'Cotizaciones'!F4987,[['Z1INSEQUI']]
'Cotizaciones'!M4987,[[0.967]]
'Cotizaciones'!F4988,[['BX8071512400F']]
'Cotizaciones'!M4988,[[0.906]]
'Cotizaciones'!F4991,[['AX4U320016G16A-ST50']]
'Cotizaciones'!M4991,[[1.0]]
'Cotizaciones'!F4992,[['SNV2S/1000G']]
'Cotizaciones'!M4992,[[0.988]]
'Cotizaciones'!F4993,[['COREREACTOR650G-BKCUS']]
'Cotizaciones'!M4993,[[0.954]]
'Cotizaciones'!F4995,[['Z1INSSO10']]
'Cotizaciones'!M4995,[[1.0]]
'Cotizaciones'!F4996,[['Z1INSEQUI']]
'Cotizaciones'!M4996,[[1.0]]
'Cotizaciones'!F4997,[['BX8071512400F']]
'Cotizaciones'!M4997,[[0.927]]
'Cotizaciones'!F4998,[['B760M DS3H AX DDR4']]
'Cotizaciones'!M4998,[[1.0]]
'Cotizaciones'!F5000,[['KF432C16BB/16']]
'Cotizaciones'!M5000,[[1.0]]
'Cotizaciones'!F5001,[['SNV2S/1000G']]
'Cotizaciones'!M5001,[[0.988]]
'Cotizaciones'!F5003,[['RR-2V2E-18PK-R2']]
'Cotizaciones'!M5003,[[0.989]]
'Cotizaciones'!F5006,[['Z1INSSO10']]
'Cotizaciones'!M5006,[[1.0]]
'Cotizaciones'!F5007,[['Z1INSEQUI']]
'Cotizaciones'!M5007,[[0.967]]
'Cotizaciones'!F5009,[['100-100000263BOX']]
'Cotizaciones'!M5009,[[0.977]]
'Cotizaciones'!F5010,[['B550M PRO-VDH WIFI_OBA']]
'Cotizaciones'!M5010,[[0.916]]
'Cotizaciones'!F5012,[['KF432C16BB/16']]
'Cotizaciones'!M5012,[[1.0]]
'Cotizaciones'!F5013,[['SNV2S/1000G']]
'Cotizaciones'!M5013,[[0.988]]
'Cotizaciones'!F5014,[['MAG A650BN']]
'Cotizaciones'!M5014,[[0.966]]
'Cotizaciones'!F5016,[['Z1INSSO10']]
'Cotizaciones'!M5016,[[1.0]]
'Cotizaciones'!F5017,[['Z1INSEQUI']]
'Cotizaciones'!M5017,[[0.967]]
'Cotizaciones'!F5018,[['BX8071512400F']]
'Cotizaciones'!M5018,[[0.927]]
'Cotizaciones'!F5019,[['B760 GAMING PLUS WIFI']]
'Cotizaciones'!M5019,[[0.888]]
'Cotizaciones'!F5021,[['KF556C36BBEA-16']]
'Cotizaciones'!M5021,[[1.0]]
'Cotizaciones'!F5022,[['SKC3000S/1024G']]
'Cotizaciones'!M5022,[[1.0]]
'Cotizaciones'!F5024,[['CP-9020295-NA']]
'Cotizaciones'!M5024,[[0.972]]
'Cotizaciones'!F5026,[['Z1INSSO10']]
'Cotizaciones'!M5026,[[1.0]]
'Cotizaciones'!F5029,[['100-100000926WOF']]
'Cotizaciones'!M5029,[[0.974]]
'Cotizaciones'!F5030,[['B550M PRO-VDH WIFI_OBA']]
'Cotizaciones'!M5030,[[0.916]]
'Cotizaciones'!F5032,[['AX4U320032G16A-ST50']]
'Cotizaciones'!M5032,[[1.0]]
'Cotizaciones'!F5033,[['SNV2S/1000G']]
'Cotizaciones'!M5033,[[0.988]]
'Cotizaciones'!F5037,[['Z1INSSO10']]
'Cotizaciones'!M5037,[[1.0]]
'Cotizaciones'!F5038,[['Z1INSEQUI']]
'Cotizaciones'!M5038,[[0.967]]
'Cotizaciones'!F5039,[['100-100000926WOF']]
'Cotizaciones'!M5039,[[0.974]]
'Cotizaciones'!F5040,[['B550M PRO-VDH WIFI_OBA']]
'Cotizaciones'!M5040,[[0.916]]
'Cotizaciones'!F5042,[['AX4U320032G16A-ST50']]
'Cotizaciones'!M5042,[[1.0]]
'Cotizaciones'!F5043,[['SNV2S/500G']]
'Cotizaciones'!M5043,[[0.989]]
'Cotizaciones'!F5045,[['PS-SPD-0700NPCWUS-W']]
'Cotizaciones'!M5045,[[0.946]]
'Cotizaciones'!F5047,[['920-004432']]
'Cotizaciones'!M5047,[[1.0]]
'Cotizaciones'!F5050,[['Z1INSEQUI']]
'Cotizaciones'!M5050,[[1.0]]
'Cotizaciones'!F5051,[['Z1SERVLAP']]
'Cotizaciones'!M5051,[[1.0]]
'Cotizaciones'!N5051,[['SERVICE']]
'Cotizaciones'!F5053,[['100-100001591BOX']]
'Cotizaciones'!M5053,[[0.881]]
'Cotizaciones'!F5054,[['PRIME B650M-A AX II-CSM']]
'Cotizaciones'!M5054,[[0.982]]
'Cotizaciones'!F5056,[['KF552C40BBA-32']]
'Cotizaciones'!M5056,[[0.947]]
'Cotizaciones'!F5057,[['SNV2S/1000G']]
'Cotizaciones'!M5057,[[0.988]]
'Cotizaciones'!F5059,[['MAG A650BN']]
'Cotizaciones'!M5059,[[0.966]]
'Cotizaciones'!F5061,[['Z1INSSO10']]
'Cotizaciones'!M5061,[[1.0]]
'Cotizaciones'!F5062,[['Z1INSEQUI']]
'Cotizaciones'!M5062,[[1.0]]
'Cotizaciones'!F5066,[['910-005794']]
'Cotizaciones'!M5066,[[1.0]]
'Cotizaciones'!F5067,[['Z1MANENTR']]
'Cotizaciones'!M5067,[[1.0]]
'Cotizaciones'!N5067,[['SERVICE']]
'Cotizaciones'!F5074,[['BX8071512400']]
'Cotizaciones'!M5074,[[0.935]]
'Cotizaciones'!F5075,[['B760M DS3H AX DDR4']]
'Cotizaciones'!M5075,[[1.0]]
'Cotizaciones'!F5077,[['KF436C18BB/16']]
'Cotizaciones'!M5077,[[1.0]]
'Cotizaciones'!F5078,[['SNV2S/500G']]
'Cotizaciones'!M5078,[[0.989]]
'Cotizaciones'!F5080,[['MAG A650BN']]
'Cotizaciones'!M5080,[[0.966]]
'Cotizaciones'!F5082,[['Z1INSSO10']]
'Cotizaciones'!M5082,[[1.0]]
'Cotizaciones'!F5083,[['Z1INSEQUI']]
'Cotizaciones'!M5083,[[1.0]]
'Cotizaciones'!F5084,[['BX8071512400']]
'Cotizaciones'!M5084,[[0.935]]
'Cotizaciones'!F5085,[['B760M DS3H AX DDR4']]
'Cotizaciones'!M5085,[[1.0]]
'Cotizaciones'!F5086,[['ZT-D40600G-10L']]
'Cotizaciones'!M5086,[[0.918]]
'Cotizaciones'!F5087,[['KF436C18BB/16']]
'Cotizaciones'!M5087,[[1.0]]
'Cotizaciones'!F5088,[['SNV2S/500G']]
'Cotizaciones'!M5088,[[0.989]]
'Cotizaciones'!F5090,[['MAG A650BN']]
'Cotizaciones'!M5090,[[0.966]]
'Cotizaciones'!F5092,[['Z1INSSO10']]
'Cotizaciones'!M5092,[[1.0]]
'Cotizaciones'!F5093,[['Z1INSEQUI']]
'Cotizaciones'!M5093,[[1.0]]
'Cotizaciones'!F5094,[['BX8071512700']]
'Cotizaciones'!M5094,[[0.949]]
'Cotizaciones'!F5095,[['B760M DS3H AX DDR4']]
'Cotizaciones'!M5095,[[1.0]]
'Cotizaciones'!F5096,[['ZT-D40600G-10L']]
'Cotizaciones'!M5096,[[0.918]]
'Cotizaciones'!F5097,[['KF436C18BB/16']]
'Cotizaciones'!M5097,[[1.0]]
'Cotizaciones'!F5098,[['SNV2S/500G']]
'Cotizaciones'!M5098,[[0.989]]
'Cotizaciones'!F5100,[['MAG A650BN']]
'Cotizaciones'!M5100,[[0.966]]
'Cotizaciones'!F5102,[['Z1INSSO10']]
'Cotizaciones'!M5102,[[1.0]]
'Cotizaciones'!F5103,[['Z1INSEQUI']]
'Cotizaciones'!M5103,[[1.0]]
'Cotizaciones'!F5104,[['100-100000263BOX']]
'Cotizaciones'!M5104,[[0.977]]
'Cotizaciones'!F5107,[['KF432C16BB2A/16']]
'Cotizaciones'!M5107,[[1.0]]
'Cotizaciones'!F5108,[['SNV2S/500G']]
'Cotizaciones'!M5108,[[0.989]]
'Cotizaciones'!F5109,[['MAG A650BN']]
'Cotizaciones'!M5109,[[0.966]]
'Cotizaciones'!F5111,[['Z1INSSO10']]
'Cotizaciones'!M5111,[[1.0]]
'Cotizaciones'!F5112,[['Z1INSEQUI']]
'Cotizaciones'!M5112,[[1.0]]
'Cotizaciones'!F5114,[['100-100001236BOX']]
'Cotizaciones'!M5114,[[0.889]]
'Cotizaciones'!F5115,[['B650M GAMING PLUS WIFI']]
'Cotizaciones'!M5115,[[0.954]]
'Cotizaciones'!F5116,[['KF560C30BBA-16']]
'Cotizaciones'!M5116,[[0.929]]
'Cotizaciones'!F5117,[['SNV2S/1000G']]
'Cotizaciones'!M5117,[[0.988]]
'Cotizaciones'!F5120,[['BR-938679']]
'Cotizaciones'!M5120,[[0.972]]
'Cotizaciones'!F5121,[['Z1INSSO10PRO']]
'Cotizaciones'!M5121,[[1.0]]
'Cotizaciones'!F5125,[['KF432C16BB/16']]
'Cotizaciones'!M5125,[[1.0]]
'Cotizaciones'!F5126,[['SNV2S/500G']]
'Cotizaciones'!M5126,[[0.989]]
'Cotizaciones'!F5129,[['Z1INSSO10']]
'Cotizaciones'!M5129,[[1.0]]
'Cotizaciones'!F5130,[['XSPMG05B']]
'Cotizaciones'!M5130,[[0.96]]
'Cotizaciones'!F5131,[['Z1INSEQUI']]
'Cotizaciones'!M5131,[[1.0]]
'Cotizaciones'!F5133,[['RTX 5050 8G VENTUS 2X OC']]
'Cotizaciones'!M5133,[[0.917]]
'Cotizaciones'!N5133,[['GPU']]
'Cotizaciones'!F5137,[['RTX 5050 8G VENTUS 2X OC']]
'Cotizaciones'!M5137,[[0.917]]
'Cotizaciones'!F5138,[['CMK32GX4M2E3200C16']]
'Cotizaciones'!M5138,[[0.949]]
'Cotizaciones'!F5139,[['SNV2S/1000G']]
'Cotizaciones'!M5139,[[0.906]]
'Cotizaciones'!F5140,[['BR-937719']]
'Cotizaciones'!M5140,[[0.957]]
'Cotizaciones'!F5142,[['Z1INSSO10']]
'Cotizaciones'!M5142,[[1.0]]
'Cotizaciones'!F5143,[['Z1INSEQUI']]
'Cotizaciones'!M5143,[[1.0]]
'Cotizaciones'!F5144,[['100-100000927BOX']]
'Cotizaciones'!M5144,[[0.884]]
'Cotizaciones'!F5147,[['AX4U320016G16A-ST50']]
'Cotizaciones'!M5147,[[1.0]]
'Cotizaciones'!F5148,[['SNV2S/1000G']]
'Cotizaciones'!M5148,[[0.988]]
'Cotizaciones'!F5149,[['MAG A650BN']]
'Cotizaciones'!M5149,[[0.966]]
'Cotizaciones'!F5151,[['Z1INSSO10']]
'Cotizaciones'!M5151,[[1.0]]
'Cotizaciones'!F5152,[['Z1INSEQUI']]
'Cotizaciones'!M5152,[[1.0]]
'Cotizaciones'!F5153,[['100-100000147BOX']]
'Cotizaciones'!M5153,[[0.977]]
'Cotizaciones'!F5157,[['AC-933063']]
'Cotizaciones'!M5157,[[0.93]]
'Cotizaciones'!F5158,[['Z1INSSO10']]
'Cotizaciones'!M5158,[[1.0]]
'Cotizaciones'!F5159,[['Z1INSEQUI']]
'Cotizaciones'!M5159,[[1.0]]
'Cotizaciones'!F5160,[['100-100000457BOX']]
'Cotizaciones'!M5160,[[0.946]]
'Cotizaciones'!F5163,[['KF432C16BB/16']]
'Cotizaciones'!M5163,[[1.0]]
'Cotizaciones'!F5164,[['SNV2S/500G']]
'Cotizaciones'!M5164,[[0.989]]
'Cotizaciones'!F5167,[['Z1INSSO10']]
'Cotizaciones'!M5167,[[1.0]]
'Cotizaciones'!F5168,[['Z1INSEQUI']]
'Cotizaciones'!M5168,[[1.0]]
'Cotizaciones'!F5169,[['BX8071513900KF']]
'Cotizaciones'!M5169,[[0.932]]
'Cotizaciones'!F5170,[['90MB1D80-M0AAY0']]
'Cotizaciones'!M5170,[[0.984]]
'Cotizaciones'!F5172,[['CMK64GX5M2B5200C40']]
'Cotizaciones'!M5172,[[0.99]]
'Cotizaciones'!F5173,[['SNV2S/1000G']]
'Cotizaciones'!M5173,[[0.906]]
'Cotizaciones'!F5174,[['MLX-D36M-A18P2-R1']]
'Cotizaciones'!M5174,[[0.974]]
'Cotizaciones'!N5174,[['WATERC']]
'Cotizaciones'!F5175,[['COREREACTOR850G-BKCUS']]
'Cotizaciones'!M5175,[[0.985]]
'Cotizaciones'!F5177,[['Z1INSSO10']]
'Cotizaciones'!M5177,[[1.0]]
'Cotizaciones'!F5178,[['Z1INSEQUI']]
'Cotizaciones'!M5178,[[1.0]]
'Cotizaciones'!F5179,[['100-100000147BOX']]
'Cotizaciones'!M5179,[[0.977]]
'Cotizaciones'!F5180,[['A520M K V2']]
'Cotizaciones'!M5180,[[1.0]]
'Cotizaciones'!F5183,[['AC-933070']]
'Cotizaciones'!M5183,[[1.0]]
'Cotizaciones'!F5184,[['Z1INSSO10']]
'Cotizaciones'!M5184,[[1.0]]
'Cotizaciones'!F5185,[['Z1INSEQUI']]
'Cotizaciones'!M5185,[[1.0]]
'Cotizaciones'!F5186,[['100-100000927BOX']]
'Cotizaciones'!M5186,[[0.884]]
'Cotizaciones'!F5189,[['KF432C16BB/16']]
'Cotizaciones'!M5189,[[1.0]]
'Cotizaciones'!F5190,[['SNV2S/1000G']]
'Cotizaciones'!M5190,[[0.988]]
'Cotizaciones'!F5191,[['MAG A650BN']]
'Cotizaciones'!M5191,[[0.966]]
'Cotizaciones'!F5193,[['Z1INSSO10']]
'Cotizaciones'!M5193,[[1.0]]
'Cotizaciones'!F5194,[['Z1INSEQUI']]
'Cotizaciones'!M5194,[[1.0]]
'Cotizaciones'!F5196,[['PRIME A620M-A-CSM']]
'Cotizaciones'!M5196,[[0.916]]
'Cotizaciones'!F5198,[['KF552C40BB-16']]
'Cotizaciones'!M5198,[[1.0]]
'Cotizaciones'!F5199,[['SNV2S/1000G']]
'Cotizaciones'!M5199,[[0.988]]
'Cotizaciones'!F5202,[['Z1INSSO10']]
'Cotizaciones'!M5202,[[1.0]]
'Cotizaciones'!F5204,[['Z1INSEQUI']]
'Cotizaciones'!M5204,[[1.0]]
'Cotizaciones'!F5206,[['SNV2S/1000G']]
'Cotizaciones'!M5206,[[0.906]]
'Cotizaciones'!N5206,[['SSD']]
'Cotizaciones'!F5208,[['100-100001590BOX']]
'Cotizaciones'!M5208,[[0.907]]
'Cotizaciones'!F5209,[['B650M AORUS ELITE AX']]
'Cotizaciones'!M5209,[[1.0]]
'Cotizaciones'!F5211,[['KF560C30BBA-16']]
'Cotizaciones'!M5211,[[0.929]]
'Cotizaciones'!F5212,[['SNV2S/1000G']]
'Cotizaciones'!M5212,[[0.988]]
'Cotizaciones'!F5214,[['MAG A750BN PCIE5']]
'Cotizaciones'!M5214,[[1.0]]
'Cotizaciones'!F5215,[['0-761345-10085-4']]
'Cotizaciones'!M5215,[[0.895]]
'Cotizaciones'!F5216,[['Z1INSSO10']]
'Cotizaciones'!M5216,[[1.0]]
'Cotizaciones'!F5217,[['Z1INSEQUI']]
'Cotizaciones'!M5217,[[1.0]]
'Cotizaciones'!F5218,[['BR-938686']]
'Cotizaciones'!M5218,[[0.973]]
'Cotizaciones'!N5218,[['CASE']]
'Cotizaciones'!F5222,[['Z1INSEQUI']]
'Cotizaciones'!M5222,[[1.0]]
'Cotizaciones'!F5224,[['100-100000457BOX']]
'Cotizaciones'!M5224,[[0.946]]
'Cotizaciones'!N5224,[['CPU']]
'Cotizaciones'!F5226,[['Z1INSEQUI']]
'Cotizaciones'!M5226,[[1.0]]
'Cotizaciones'!F5227,[['CMSO8GX4M1A2133C15']]
'Cotizaciones'!M5227,[[1.0]]
'Cotizaciones'!N5227,[['RAM']]
'Cotizaciones'!F5232,[['Z1INSSO10']]
'Cotizaciones'!M5232,[[1.0]]
'Cotizaciones'!N5232,[['INSTALACION']]
'Cotizaciones'!F5233,[['Z1INSEQUI']]
'Cotizaciones'!M5233,[[1.0]]
'Cotizaciones'!F5235,[['PRIME Z790-A WIFI']]
'Cotizaciones'!M5235,[[0.903]]
'Cotizaciones'!F5237,[['KF552C40BBA-32']]
'Cotizaciones'!M5237,[[1.0]]
'Cotizaciones'!F5239,[['MLW-D36M-A18PZ-R1']]
'Cotizaciones'!M5239,[[0.965]]
'Cotizaciones'!N5239,[['WATERC']]
'Cotizaciones'!F5242,[['Z1INSSO10']]
'Cotizaciones'!M5242,[[1.0]]
'Cotizaciones'!F5243,[['XSKTALRW1B']]
'Cotizaciones'!M5243,[[1.0]]
'Cotizaciones'!F5244,[['XSMO277B']]
'Cotizaciones'!M5244,[[0.967]]
'Cotizaciones'!F5245,[['YDG-33406']]
'Cotizaciones'!M5245,[[1.0]]
'Cotizaciones'!F5247,[['Z1INSEQUI']]
'Cotizaciones'!M5247,[[1.0]]
'Cotizaciones'!F5248,[['100-100001590BOX']]
'Cotizaciones'!M5248,[[0.91]]
'Cotizaciones'!F5249,[['90MB1BF0-M0EAY0']]
'Cotizaciones'!M5249,[[0.981]]
'Cotizaciones'!F5251,[['KF556C36BBE-16']]
'Cotizaciones'!M5251,[[0.891]]
'Cotizaciones'!F5252,[['SNV2S/1000G']]
'Cotizaciones'!M5252,[[0.988]]
'Cotizaciones'!F5253,[['R-LE720-BKAMMN-G-1']]
'Cotizaciones'!M5253,[[0.979]]
'Cotizaciones'!N5253,[['WATERC']]
'Cotizaciones'!F5254,[['PS-SPD-0700NPCWUS-W']]
'Cotizaciones'!M5254,[[0.946]]
'Cotizaciones'!F5256,[['Z1INSSO10']]
'Cotizaciones'!M5256,[[1.0]]
'Cotizaciones'!F5257,[['Z1INSEQUI']]
'Cotizaciones'!M5257,[[1.0]]
'Cotizaciones'!F5258,[['BX8071512600K']]
'Cotizaciones'!M5258,[[1.0]]
'Cotizaciones'!F5259,[['B760M DS3H AX DDR4']]
'Cotizaciones'!M5259,[[0.91]]
'Cotizaciones'!F5261,[['KF552C40BBA-32']]
'Cotizaciones'!M5261,[[1.0]]
'Cotizaciones'!F5262,[['SNV2S/1000G']]
'Cotizaciones'!M5262,[[0.988]]
'Cotizaciones'!F5263,[['SA400S37/960G']]
'Cotizaciones'!M5263,[[0.981]]
'Cotizaciones'!N5263,[['SSD']]
'Cotizaciones'!F5264,[['RL-KR280-W1']]
'Cotizaciones'!M5264,[[0.918]]
'Cotizaciones'!N5264,[['WATERC']]
'Cotizaciones'!F5266,[['CC-H51FW-01']]
'Cotizaciones'!M5266,[[0.934]]
'Cotizaciones'!F5267,[['Z1INSSO10']]
'Cotizaciones'!M5267,[[1.0]]
'Cotizaciones'!F5270,[['BR-937696']]
'Cotizaciones'!M5270,[[0.977]]
'Cotizaciones'!N5270,[['PSU']]
'Cotizaciones'!F5272,[['BR-938310']]
'Cotizaciones'!M5272,[[0.889]]
'Cotizaciones'!N5272,[['MONITOR']]
'Cotizaciones'!F5276,[['KF436C18BB2AK2/32']]
'Cotizaciones'!M5276,[[1.0]]
'Cotizaciones'!F5277,[['SNV2S/1000G']]
'Cotizaciones'!M5277,[[0.988]]
'Cotizaciones'!F5281,[['Z1INSSO10']]
'Cotizaciones'!M5281,[[1.0]]
'Cotizaciones'!F5282,[['Z1INSEQUI']]
'Cotizaciones'!M5282,[[1.0]]
'Cotizaciones'!F5284,[['B760M DS3H AX DDR4']]
'Cotizaciones'!M5284,[[1.0]]
'Cotizaciones'!F5286,[['KF436C18BB2AK2/32']]
'Cotizaciones'!M5286,[[1.0]]
'Cotizaciones'!F5287,[['SNV2S/1000G']]
'Cotizaciones'!M5287,[[0.988]]
'Cotizaciones'!F5291,[['Z1INSSO10']]
'Cotizaciones'!M5291,[[1.0]]
'Cotizaciones'!F5292,[['Z1INSEQUI']]
'Cotizaciones'!M5292,[[1.0]]
'Cotizaciones'!F5295,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M5295,[[0.975]]
'Cotizaciones'!F5297,[['CMK32GX4M2E3200C16']]
'Cotizaciones'!M5297,[[0.949]]
'Cotizaciones'!F5298,[['SNV2S/1000G']]
'Cotizaciones'!M5298,[[0.906]]
'Cotizaciones'!F5299,[['RR-S4KK-25SN-R1']]
'Cotizaciones'!M5299,[[1.0]]
'Cotizaciones'!F5300,[['BR-937719']]
'Cotizaciones'!M5300,[[0.957]]
'Cotizaciones'!F5302,[['Z1INSSO10']]
'Cotizaciones'!M5302,[[1.0]]
'Cotizaciones'!F5303,[['Z1INSEQUI']]
'Cotizaciones'!M5303,[[1.0]]
'Cotizaciones'!F5304,[['100-100000926WOF']]
'Cotizaciones'!M5304,[[0.89]]
'Cotizaciones'!F5305,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M5305,[[0.975]]
'Cotizaciones'!F5307,[['CMK32GX4M2E3200C16']]
'Cotizaciones'!M5307,[[0.949]]
'Cotizaciones'!F5308,[['SNV2S/1000G']]
'Cotizaciones'!M5308,[[0.906]]
'Cotizaciones'!F5309,[['RR-S4KK-25SN-R1']]
'Cotizaciones'!M5309,[[1.0]]
'Cotizaciones'!F5310,[['BR-937719']]
'Cotizaciones'!M5310,[[0.957]]
'Cotizaciones'!F5312,[['Z1INSSO10']]
'Cotizaciones'!M5312,[[1.0]]
'Cotizaciones'!F5313,[['Z1INSEQUI']]
'Cotizaciones'!M5313,[[1.0]]
'Cotizaciones'!F5314,[['100-100000061WOF']]
'Cotizaciones'!M5314,[[0.884]]
'Cotizaciones'!F5315,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M5315,[[0.975]]
'Cotizaciones'!F5316,[['RTX 5050 8G VENTUS 2X OC']]
'Cotizaciones'!M5316,[[0.917]]
'Cotizaciones'!F5317,[['CMK32GX4M2E3200C16']]
'Cotizaciones'!M5317,[[0.949]]
'Cotizaciones'!F5318,[['SNV2S/1000G']]
'Cotizaciones'!M5318,[[0.906]]
'Cotizaciones'!F5319,[['RR-S4KK-25SN-R1']]
'Cotizaciones'!M5319,[[1.0]]
'Cotizaciones'!F5320,[['BR-937719']]
'Cotizaciones'!M5320,[[0.957]]
'Cotizaciones'!F5322,[['Z1INSSO10']]
'Cotizaciones'!M5322,[[1.0]]
'Cotizaciones'!F5323,[['Z1INSEQUI']]
'Cotizaciones'!M5323,[[1.0]]
'Cotizaciones'!F5324,[['BX8071514900K']]
'Cotizaciones'!M5324,[[0.961]]
'Cotizaciones'!F5325,[['90MB1D80-M0AAY0']]
'Cotizaciones'!M5325,[[0.934]]
'Cotizaciones'!F5326,[['GEFORCE RTX 5070 12G VENTUS 2X OC']]
'Cotizaciones'!M5326,[[0.928]]
'Cotizaciones'!F5327,[['FF5D532G5200HC40CDC01']]
'Cotizaciones'!M5327,[[0.897]]
'Cotizaciones'!F5328,[['SNV2S/1000G']]
'Cotizaciones'!M5328,[[0.906]]
'Cotizaciones'!F5329,[['MLX-D36M-A18P2-R1']]
'Cotizaciones'!M5329,[[0.974]]
'Cotizaciones'!N5329,[['WATERC']]
'Cotizaciones'!F5330,[['MAG A650BN']]
'Cotizaciones'!M5330,[[0.978]]
'Cotizaciones'!F5331,[['BR-935944']]
'Cotizaciones'!M5331,[[0.982]]
'Cotizaciones'!F5332,[['Z1INSSO10']]
'Cotizaciones'!M5332,[[1.0]]
'Cotizaciones'!F5333,[['Z1INSEQUI']]
'Cotizaciones'!M5333,[[1.0]]
'Cotizaciones'!F5334,[['100-100000063WOF']]
'Cotizaciones'!M5334,[[0.891]]
'Cotizaciones'!F5335,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M5335,[[0.975]]
'Cotizaciones'!F5337,[['TF3D432G3200HC16FDC01']]
'Cotizaciones'!M5337,[[0.985]]
'Cotizaciones'!F5338,[['BL.9BWWA.124']]
'Cotizaciones'!M5338,[[0.904]]
'Cotizaciones'!F5340,[['CYLON 700W']]
'Cotizaciones'!M5340,[[0.98]]
'Cotizaciones'!F5342,[['Z1INSSO10']]
'Cotizaciones'!M5342,[[1.0]]
'Cotizaciones'!F5344,[['Z1INSEQUI']]
'Cotizaciones'!M5344,[[1.0]]
'Cotizaciones'!F5345,[['100-100000063WOF']]
'Cotizaciones'!M5345,[[0.891]]
'Cotizaciones'!F5346,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M5346,[[0.975]]
'Cotizaciones'!F5348,[['TF3D432G3200HC16FDC01']]
'Cotizaciones'!M5348,[[0.985]]
'Cotizaciones'!F5349,[['BL.9BWWA.124']]
'Cotizaciones'!M5349,[[0.904]]
'Cotizaciones'!F5351,[['CYLON 700W']]
'Cotizaciones'!M5351,[[0.98]]
'Cotizaciones'!F5353,[['Z1INSSO10']]
'Cotizaciones'!M5353,[[1.0]]
'Cotizaciones'!F5354,[['Z1INSEQUI']]
'Cotizaciones'!M5354,[[1.0]]
'Cotizaciones'!F5357,[['100-100000457BOX']]
'Cotizaciones'!M5357,[[0.946]]
'Cotizaciones'!F5360,[['AX4U320016G16A-DW50']]
'Cotizaciones'!M5360,[[1.0]]
'Cotizaciones'!F5361,[['SNV2S/1000G']]
'Cotizaciones'!M5361,[[0.988]]
'Cotizaciones'!F5362,[['PS-SPD-0700NPCWUS-W']]
'Cotizaciones'!M5362,[[0.946]]
'Cotizaciones'!F5364,[['Z1INSSO10']]
'Cotizaciones'!M5364,[[1.0]]
'Cotizaciones'!F5365,[['Z1INSEQUI']]
'Cotizaciones'!M5365,[[1.0]]
'Cotizaciones'!F5366,[['Z1EQUIDOM']]
'Cotizaciones'!M5366,[[1.0]]
'Cotizaciones'!N5366,[['SERVICE']]
'Cotizaciones'!F5368,[['90MB19V0-M0AAY0']]
'Cotizaciones'!M5368,[[0.975]]
'Cotizaciones'!F5371,[['Z1INSSO10']]
'Cotizaciones'!M5371,[[1.0]]
'Cotizaciones'!F5373,[['PRO B650M-P']]
'Cotizaciones'!M5373,[[0.989]]
'Cotizaciones'!F5374,[['KF556C36BBEA-16']]
'Cotizaciones'!M5374,[[0.955]]
'Cotizaciones'!F5375,[['SNV2S/1000G']]
'Cotizaciones'!M5375,[[0.906]]
'Cotizaciones'!F5376,[['BR-937719']]
'Cotizaciones'!M5376,[[0.957]]
'Cotizaciones'!F5378,[['Z1INSSO10']]
'Cotizaciones'!M5378,[[1.0]]
'Cotizaciones'!F5379,[['Z1INSEQUI']]
'Cotizaciones'!M5379,[[1.0]]
'Cotizaciones'!F5381,[['90MB19V0-M0AAY0']]
'Cotizaciones'!M5381,[[0.975]]
'Cotizaciones'!F5382,[['90RC00E0-M0AAY0']]
'Cotizaciones'!M5382,[[0.98]]
'Cotizaciones'!N5382,[['WATERC']]
'Cotizaciones'!F5384,[['Z1INSEQUI']]
'Cotizaciones'!M5384,[[1.0]]
'Cotizaciones'!F5385,[['100-100000263BOX']]
'Cotizaciones'!M5385,[[0.977]]
'Cotizaciones'!F5388,[['KF432C16BB/16']]
'Cotizaciones'!M5388,[[1.0]]
'Cotizaciones'!F5392,[['Z1INSSO10']]
'Cotizaciones'!M5392,[[1.0]]
'Cotizaciones'!F5393,[['Z1INSEQUI']]
'Cotizaciones'!M5393,[[1.0]]
'Cotizaciones'!F5395,[['Z1INSEQUISO']]
'Cotizaciones'!M5395,[[0.946]]
'Cotizaciones'!F5397,[['PRIME Z790-A WIFI']]
'Cotizaciones'!M5397,[[0.903]]
'Cotizaciones'!F5399,[['KF552C40BBA-32']]
'Cotizaciones'!M5399,[[1.0]]
'Cotizaciones'!F5400,[['SNV2S/1000G']]
'Cotizaciones'!M5400,[[0.988]]
'Cotizaciones'!F5404,[['Z1INSSO10']]
'Cotizaciones'!M5404,[[1.0]]
'Cotizaciones'!F5405,[['Z1INSEQUI']]
'Cotizaciones'!M5405,[[1.0]]
'Cotizaciones'!F5406,[['100-100000263BOX']]
'Cotizaciones'!M5406,[[0.977]]
'Cotizaciones'!F5407,[['B550 GAMING X V2']]
'Cotizaciones'!M5407,[[0.922]]
'Cotizaciones'!F5409,[['AX4U320016G16A-ST50']]
'Cotizaciones'!M5409,[[1.0]]
