range,values
'Cotizaciones'!N110,[['Sistema operativo']]
'Cotizaciones'!F120,[['Z1INSSO10PRO']]
'Cotizaciones'!M120,[[1.0]]
'Cotizaciones'!N120,[['Sistema operativo']]
'Cotizaciones'!F122,[['BX8070110900']]
'Cotizaciones'!M122,[[1.0]]
'Cotizaciones'!N122,[['CPU']]
'Cotizaciones'!F127,[['WD10EZEX']]
'Cotizaciones'!M127,[[0.99]]
'Cotizaciones'!N127,[['HDD']]
'Cotizaciones'!F128,[['RR-T4-18PK-R1']]
'Cotizaciones'!M128,[[1.0]]
'Cotizaciones'!N128,[['AIRC']]
'Cotizaciones'!F130,[['CYLON 700W']]
'Cotizaciones'!M130,[[0.94]]
'Cotizaciones'!N130,[['PSU']]
'Cotizaciones'!F131,[['Z1INSSO10PRO']]
'Cotizaciones'!M131,[[0.95]]
'Cotizaciones'!N131,[['Sistema operativo']]
'Cotizaciones'!F134,[['PRIME H510M-A/CSM']]
'Cotizaciones'!M134,[[0.9]]
'Cotizaciones'!N134,[['MOBO']]
'Cotizaciones'!F137,[['SNVS/500G']]
'Cotizaciones'!M137,[[0.88]]
'Cotizaciones'!N137,[['SSD']]
'Cotizaciones'!F140,[['Z1INSSO10PRO']]
'Cotizaciones'!M140,[[1.0]]
'Cotizaciones'!N140,[['Sistema operativo']]
'Cotizaciones'!F142,[['TZ16COMB01-INA']]
'Cotizaciones'!M142,[[0.97]]
'Cotizaciones'!N142,[['KEYBOARD']]
'Cotizaciones'!F148,[['SNVS/500G']]
'Cotizaciones'!M148,[[0.88]]
'Cotizaciones'!N148,[['SSD']]
'Cotizaciones'!F151,[['Z1INSSO10PRO']]
'Cotizaciones'!M151,[[1.0]]
'Cotizaciones'!N151,[['Sistema operativo']]
'Cotizaciones'!F153,[['TZ16COMB01-INA']]
'Cotizaciones'!M153,[[1.0]]
'Cotizaciones'!N153,[['KEYBOARD']]
'Cotizaciones'!F157,[['PVSR48G320C8']]
'Cotizaciones'!M157,[[1.0]]
