range,values
'Cotizaciones'!N7363,[['HDD']]
'Cotizaciones'!F7366,[['Z1INSSO10']]
'Cotizaciones'!M7366,[[1.0]]
'Cotizaciones'!N7366,[['Sistema operativo']]
'Cotizaciones'!F7367,[['Z1INSEQUI']]
'Cotizaciones'!M7367,[[1.0]]
'Cotizaciones'!N7367,[['Instalación']]
'Cotizaciones'!F7368,[['100-100000926WOF']]
'Cotizaciones'!M7368,[[0.97]]
'Cotizaciones'!N7368,[['CPU']]
'Cotizaciones'!F7369,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7369,[[1.0]]
'Cotizaciones'!N7369,[['MOBO']]
'Cotizaciones'!F7371,[['AX4U320016G16A-SWHD35']]
'Cotizaciones'!M7371,[[1.0]]
'Cotizaciones'!N7371,[['RAM']]
'Cotizaciones'!F7372,[['SNV2S/1000G']]
'Cotizaciones'!M7372,[[0.99]]
'Cotizaciones'!N7372,[['SSD']]
'Cotizaciones'!F7375,[['BR-937337']]
'Cotizaciones'!M7375,[[0.98]]
'Cotizaciones'!N7375,[['CASE']]
'Cotizaciones'!F7377,[['KF432S20IB/16']]
'Cotizaciones'!M7377,[[1.0]]
'Cotizaciones'!N7377,[['RAM']]
'Cotizaciones'!F7378,[['Z1INSEQUI']]
'Cotizaciones'!M7378,[[0.95]]
'Cotizaciones'!N7378,[['Instalación']]
'Cotizaciones'!F7379,[['100-100000926WOF']]
'Cotizaciones'!M7379,[[0.97]]
'Cotizaciones'!N7379,[['CPU']]
'Cotizaciones'!F7380,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7380,[[1.0]]
'Cotizaciones'!N7380,[['MOBO']]
'Cotizaciones'!F7381,[['RX6600 CLD 8G']]
'Cotizaciones'!M7381,[[0.99]]
'Cotizaciones'!N7381,[['GPU']]
'Cotizaciones'!F7382,[['KF432C16BB2A/8']]
'Cotizaciones'!M7382,[[1.0]]
'Cotizaciones'!N7382,[['RAM']]
'Cotizaciones'!F7383,[['SNV2S/1000G']]
'Cotizaciones'!M7383,[[0.95]]
'Cotizaciones'!N7383,[['SSD']]
'Cotizaciones'!F7387,[['Z1INSSO10']]
'Cotizaciones'!M7387,[[1.0]]
'Cotizaciones'!N7387,[['Sistema operativo']]
'Cotizaciones'!F7388,[['Z1INSEQUI']]
'Cotizaciones'!M7388,[[1.0]]
'Cotizaciones'!N7388,[['Instalación']]
'Cotizaciones'!F7389,[['KF432S20IB/16']]
'Cotizaciones'!M7389,[[1.0]]
'Cotizaciones'!N7389,[['RAM']]
'Cotizaciones'!F7390,[['Z1INSEQUIMAN']]
'Cotizaciones'!M7390,[[0.94]]
'Cotizaciones'!N7390,[['Instalación']]
'Cotizaciones'!F7391,[['100-100000147BOX']]
'Cotizaciones'!M7391,[[0.98]]
'Cotizaciones'!N7391,[['CPU']]
'Cotizaciones'!F7394,[['SNV2S/500G']]
'Cotizaciones'!M7394,[[0.95]]
'Cotizaciones'!N7394,[['SSD']]
'Cotizaciones'!F7395,[['AC-935852']]
'Cotizaciones'!M7395,[[1.0]]
'Cotizaciones'!N7395,[['CASE']]
'Cotizaciones'!F7396,[['Z1INSSO10']]
'Cotizaciones'!M7396,[[0.94]]
'Cotizaciones'!N7396,[['Sistema operativo']]
'Cotizaciones'!F7397,[['Z1INSEQUI']]
'Cotizaciones'!M7397,[[1.0]]
'Cotizaciones'!N7397,[['Instalación']]
'Cotizaciones'!F7401,[['KF552C40BBA-32']]
'Cotizaciones'!M7401,[[1.0]]
'Cotizaciones'!N7401,[['RAM']]
'Cotizaciones'!F7402,[['BL.9BWWA.125']]
'Cotizaciones'!M7402,[[1.0]]
'Cotizaciones'!N7402,[['SSD']]
'Cotizaciones'!F7404,[['MLW-D36M-A18PZ-R1']]
'Cotizaciones'!M7404,[[0.98]]
'Cotizaciones'!N7404,[['WATERC']]
'Cotizaciones'!F7405,[['0-761345-11761-6']]
'Cotizaciones'!M7405,[[0.9]]
'Cotizaciones'!N7405,[['PSU']]
'Cotizaciones'!F7406,[['TD500V2-WGNN-S00']]
'Cotizaciones'!M7406,[[0.91]]
'Cotizaciones'!N7406,[['CASE']]
'Cotizaciones'!F7407,[['Z1INSSO10']]
'Cotizaciones'!M7407,[[0.94]]
'Cotizaciones'!N7407,[['Sistema operativo']]
'Cotizaciones'!F7408,[['100-100000147BOX']]
'Cotizaciones'!M7408,[[0.98]]
'Cotizaciones'!N7408,[['CPU']]
'Cotizaciones'!F7409,[['B450M DS3H V2']]
'Cotizaciones'!M7409,[[0.95]]
'Cotizaciones'!N7409,[['MOBO']]
'Cotizaciones'!F7411,[['SNV2S/500G']]
'Cotizaciones'!M7411,[[0.95]]
'Cotizaciones'!N7411,[['SSD']]
'Cotizaciones'!F7412,[['AC-935852']]
'Cotizaciones'!M7412,[[1.0]]
'Cotizaciones'!N7412,[['CASE']]
'Cotizaciones'!F7413,[['Z1INSSO10']]
'Cotizaciones'!M7413,[[0.94]]
'Cotizaciones'!N7413,[['Sistema operativo']]
'Cotizaciones'!F7414,[['Z1INSEQUI']]
'Cotizaciones'!M7414,[[1.0]]
'Cotizaciones'!N7414,[['Instalación']]
'Cotizaciones'!F7415,[['BX8071512700F']]
'Cotizaciones'!M7415,[[0.93]]
'Cotizaciones'!N7415,[['CPU']]
'Cotizaciones'!F7416,[['N7-Z79XT-W1']]
'Cotizaciones'!M7416,[[0.99]]
'Cotizaciones'!N7416,[['MOBO']]
'Cotizaciones'!F7418,[['KF556C40BB-32']]
'Cotizaciones'!M7418,[[1.0]]
'Cotizaciones'!N7418,[['RAM']]
'Cotizaciones'!F7419,[['BL.9BWWA.125']]
'Cotizaciones'!M7419,[[1.0]]
'Cotizaciones'!N7419,[['SSD']]
'Cotizaciones'!F7420,[['MLW-D24M-A17PK-R1']]
'Cotizaciones'!M7420,[[0.97]]
'Cotizaciones'!N7420,[['WATERC']]
'Cotizaciones'!F7423,[['Z1INSSO10']]
'Cotizaciones'!M7423,[[0.94]]
'Cotizaciones'!N7423,[['Sistema operativo']]
'Cotizaciones'!F7424,[['Z1INSEQUI']]
'Cotizaciones'!M7424,[[1.0]]
'Cotizaciones'!N7424,[['Instalación']]
'Cotizaciones'!F7425,[['100-100000147BOX']]
'Cotizaciones'!M7425,[[0.98]]
'Cotizaciones'!N7425,[['CPU']]
'Cotizaciones'!F7427,[['KF432C16BB1/16']]
'Cotizaciones'!M7427,[[1.0]]
'Cotizaciones'!N7427,[['RAM']]
'Cotizaciones'!F7428,[['SNV2S/500G']]
'Cotizaciones'!M7428,[[0.95]]
'Cotizaciones'!N7428,[['SSD']]
'Cotizaciones'!F7430,[['Z1INSSO10']]
'Cotizaciones'!M7430,[[0.94]]
'Cotizaciones'!N7430,[['Sistema operativo']]
'Cotizaciones'!F7431,[['920-004428']]
'Cotizaciones'!M7431,[[1.0]]
'Cotizaciones'!N7431,[['KITKM']]
'Cotizaciones'!F7433,[['Z1PAQU365']]
'Cotizaciones'!M7433,[[1.0]]
'Cotizaciones'!N7433,[['INSTALACION']]
'Cotizaciones'!F7434,[['Z1INSEQUI']]
'Cotizaciones'!M7434,[[1.0]]
'Cotizaciones'!N7434,[['Instalación']]
'Cotizaciones'!F7435,[['100-100000147BOX']]
'Cotizaciones'!M7435,[[0.98]]
'Cotizaciones'!N7435,[['CPU']]
'Cotizaciones'!F7437,[['KF432C16BB1/16']]
'Cotizaciones'!M7437,[[1.0]]
'Cotizaciones'!N7437,[['RAM']]
'Cotizaciones'!F7438,[['SNV2S/500G']]
'Cotizaciones'!M7438,[[0.95]]
'Cotizaciones'!N7438,[['SSD']]
'Cotizaciones'!F7440,[['Z1INSSO10']]
'Cotizaciones'!M7440,[[0.94]]
'Cotizaciones'!N7440,[['Sistema operativo']]
'Cotizaciones'!F7441,[['Z1PAQU365']]
'Cotizaciones'!M7441,[[1.0]]
'Cotizaciones'!N7441,[['INSTALACION']]
'Cotizaciones'!F7442,[['Z1INSEQUI']]
'Cotizaciones'!M7442,[[1.0]]
'Cotizaciones'!N7442,[['Instalación']]
'Cotizaciones'!F7444,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7444,[[0.88]]
'Cotizaciones'!N7444,[['MOBO']]
'Cotizaciones'!F7445,[['KF432C16BB/8']]
'Cotizaciones'!M7445,[[1.0]]
'Cotizaciones'!N7445,[['RAM']]
'Cotizaciones'!F7446,[['SNV2S/1000G']]
'Cotizaciones'!M7446,[[0.95]]
'Cotizaciones'!N7446,[['SSD']]
'Cotizaciones'!F7447,[['AC-933070']]
'Cotizaciones'!M7447,[[1.0]]
'Cotizaciones'!N7447,[['CASE']]
'Cotizaciones'!F7448,[['Z1INSSO10']]
'Cotizaciones'!M7448,[[0.94]]
'Cotizaciones'!N7448,[['Sistema operativo']]
'Cotizaciones'!F7449,[['Z1INSEQUI']]
'Cotizaciones'!M7449,[[1.0]]
'Cotizaciones'!N7449,[['Instalación']]
'Cotizaciones'!F7452,[['BR-938655']]
'Cotizaciones'!M7452,[[0.9]]
'Cotizaciones'!N7452,[['MONITOR']]
'Cotizaciones'!F7453,[['100-100001488BOX']]
'Cotizaciones'!M7453,[[1.0]]
'Cotizaciones'!N7453,[['CPU']]
'Cotizaciones'!F7454,[['100-100000263BOX']]
'Cotizaciones'!M7454,[[1.0]]
'Cotizaciones'!N7454,[['CPU']]
'Cotizaciones'!F7455,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7455,[[1.0]]
'Cotizaciones'!N7455,[['MOBO']]
'Cotizaciones'!F7458,[['Z1INSEQUI']]
'Cotizaciones'!M7458,[[1.0]]
'Cotizaciones'!N7458,[['Instalación']]
'Cotizaciones'!F7459,[['100-100000926WOF']]
'Cotizaciones'!M7459,[[0.97]]
'Cotizaciones'!N7459,[['CPU']]
'Cotizaciones'!F7460,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7460,[[1.0]]
'Cotizaciones'!N7460,[['MOBO']]
'Cotizaciones'!F7462,[['AX4U320016G16A-DW50']]
'Cotizaciones'!M7462,[[1.0]]
'Cotizaciones'!N7462,[['RAM']]
'Cotizaciones'!F7463,[['SNV2S/1000G']]
'Cotizaciones'!M7463,[[0.95]]
'Cotizaciones'!N7463,[['SSD']]
'Cotizaciones'!F7466,[['BR-937337']]
'Cotizaciones'!M7466,[[0.98]]
'Cotizaciones'!N7466,[['CASE']]
'Cotizaciones'!F7467,[['Z1INSEQUI']]
'Cotizaciones'!M7467,[[1.0]]
'Cotizaciones'!N7467,[['Instalación']]
'Cotizaciones'!F7468,[['100-100000926WOF']]
'Cotizaciones'!M7468,[[0.97]]
'Cotizaciones'!N7468,[['CPU']]
'Cotizaciones'!F7469,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7469,[[1.0]]
'Cotizaciones'!N7469,[['MOBO']]
'Cotizaciones'!F7471,[['KF432C16BB2A/16']]
'Cotizaciones'!M7471,[[1.0]]
'Cotizaciones'!N7471,[['RAM']]
'Cotizaciones'!F7472,[['SNV2S/1000G']]
'Cotizaciones'!M7472,[[0.95]]
'Cotizaciones'!N7472,[['SSD']]
'Cotizaciones'!F7473,[['MLW-D24M-A18PS-R1']]
'Cotizaciones'!M7473,[[0.92]]
'Cotizaciones'!N7473,[['WATERC']]
'Cotizaciones'!F7475,[['BR-937337']]
'Cotizaciones'!M7475,[[0.98]]
'Cotizaciones'!N7475,[['CASE']]
'Cotizaciones'!F7476,[['Z1INSSO10']]
'Cotizaciones'!M7476,[[0.94]]
'Cotizaciones'!N7476,[['Sistema operativo']]
'Cotizaciones'!F7478,[['XZMXZ43B']]
'Cotizaciones'!M7478,[[0.92]]
'Cotizaciones'!N7478,[['MONITOR']]
'Cotizaciones'!F7479,[['Z1INSEQUI']]
'Cotizaciones'!M7479,[[1.0]]
'Cotizaciones'!N7479,[['Instalación']]
'Cotizaciones'!F7480,[['100-100000926WOF']]
'Cotizaciones'!M7480,[[0.97]]
'Cotizaciones'!N7480,[['CPU']]
'Cotizaciones'!F7481,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7481,[[1.0]]
'Cotizaciones'!N7481,[['MOBO']]
'Cotizaciones'!F7483,[['KF432C16BB2A/16']]
'Cotizaciones'!M7483,[[1.0]]
'Cotizaciones'!N7483,[['RAM']]
'Cotizaciones'!F7484,[['SNV2S/1000G']]
'Cotizaciones'!M7484,[[0.95]]
'Cotizaciones'!N7484,[['SSD']]
'Cotizaciones'!F7485,[['MLW-D24M-A18PS-R1']]
'Cotizaciones'!M7485,[[0.92]]
'Cotizaciones'!N7485,[['WATERC']]
'Cotizaciones'!F7487,[['BR-937337']]
'Cotizaciones'!M7487,[[0.98]]
'Cotizaciones'!N7487,[['CASE']]
'Cotizaciones'!F7488,[['Z1INSSO10']]
'Cotizaciones'!M7488,[[0.94]]
'Cotizaciones'!N7488,[['Sistema operativo']]
'Cotizaciones'!F7489,[['4P5P1AA#ABA']]
'Cotizaciones'!M7489,[[1.0]]
'Cotizaciones'!N7489,[['KEYBOARD']]
'Cotizaciones'!F7490,[['XZMXZ43B']]
'Cotizaciones'!M7490,[[0.92]]
'Cotizaciones'!N7490,[['MONITOR']]
'Cotizaciones'!F7491,[['910-005793']]
'Cotizaciones'!M7491,[[1.0]]
'Cotizaciones'!N7491,[['MOUSE']]
'Cotizaciones'!F7492,[['YDG-33406']]
'Cotizaciones'!M7492,[[1.0]]
'Cotizaciones'!N7492,[['HEADPHONE']]
'Cotizaciones'!F7493,[['Z1INSEQUI']]
'Cotizaciones'!M7493,[[1.0]]
'Cotizaciones'!N7493,[['Instalación']]
'Cotizaciones'!F7494,[['100-100000147BOX']]
'Cotizaciones'!M7494,[[0.98]]
'Cotizaciones'!N7494,[['CPU']]
'Cotizaciones'!F7495,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7495,[[1.0]]
'Cotizaciones'!N7495,[['MOBO']]
'Cotizaciones'!F7496,[['Z1INSSO10']]
'Cotizaciones'!M7496,[[0.94]]
'Cotizaciones'!N7496,[['Sistema operativo']]
'Cotizaciones'!F7497,[['Z1INSEQUI']]
'Cotizaciones'!M7497,[[1.0]]
'Cotizaciones'!N7497,[['Instalación']]
'Cotizaciones'!F7498,[['BX8071512100F']]
'Cotizaciones'!M7498,[[0.99]]
'Cotizaciones'!N7498,[['CPU']]
'Cotizaciones'!F7500,[['Z1INSSO10']]
'Cotizaciones'!M7500,[[0.94]]
'Cotizaciones'!N7500,[['Sistema operativo']]
'Cotizaciones'!F7501,[['Z1INSEQUI']]
'Cotizaciones'!M7501,[[1.0]]
'Cotizaciones'!N7501,[['Instalación']]
'Cotizaciones'!F7507,[['VG30VQL1A']]
'Cotizaciones'!M7507,[[1.0]]
'Cotizaciones'!N7507,[['MONITOR']]
'Cotizaciones'!F7511,[['KF556C40BB-32']]
'Cotizaciones'!M7511,[[1.0]]
'Cotizaciones'!N7511,[['RAM']]
'Cotizaciones'!F7512,[['SNV2S/1000G']]
'Cotizaciones'!M7512,[[0.95]]
'Cotizaciones'!N7512,[['SSD']]
'Cotizaciones'!F7514,[['MLW-D24M-A18PS-R1']]
'Cotizaciones'!M7514,[[0.92]]
'Cotizaciones'!N7514,[['WATERC']]
'Cotizaciones'!F7517,[['Z1INSSO10']]
'Cotizaciones'!M7517,[[0.94]]
'Cotizaciones'!N7517,[['Sistema operativo']]
'Cotizaciones'!F7519,[['Z1INSEQUI']]
'Cotizaciones'!M7519,[[1.0]]
'Cotizaciones'!N7519,[['Instalación']]
'Cotizaciones'!F7520,[['100-100000457BOX']]
'Cotizaciones'!M7520,[[1.0]]
'Cotizaciones'!N7520,[['CPU']]
'Cotizaciones'!F7521,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7521,[[1.0]]
'Cotizaciones'!N7521,[['MOBO']]
'Cotizaciones'!F7523,[['KF436C18BB/16']]
'Cotizaciones'!M7523,[[1.0]]
'Cotizaciones'!N7523,[['RAM']]
'Cotizaciones'!F7524,[['SNV2S/1000G']]
'Cotizaciones'!M7524,[[0.95]]
'Cotizaciones'!N7524,[['SSD']]
'Cotizaciones'!F7526,[['BR-935982']]
'Cotizaciones'!M7526,[[0.9]]
'Cotizaciones'!N7526,[['CASE']]
'Cotizaciones'!F7527,[['Z1INSSO10']]
'Cotizaciones'!M7527,[[0.94]]
'Cotizaciones'!N7527,[['Sistema operativo']]
'Cotizaciones'!F7528,[['Z1INSEQUI']]
'Cotizaciones'!M7528,[[1.0]]
'Cotizaciones'!N7528,[['Instalación']]
'Cotizaciones'!F7529,[['100-100000926WOF']]
'Cotizaciones'!M7529,[[0.97]]
'Cotizaciones'!N7529,[['CPU']]
'Cotizaciones'!F7530,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7530,[[1.0]]
'Cotizaciones'!N7530,[['MOBO']]
'Cotizaciones'!F7532,[['KF436C18BB/16']]
'Cotizaciones'!M7532,[[1.0]]
'Cotizaciones'!N7532,[['RAM']]
'Cotizaciones'!F7533,[['SNV2S/1000G']]
'Cotizaciones'!M7533,[[0.95]]
'Cotizaciones'!N7533,[['SSD']]
'Cotizaciones'!F7536,[['BR-935982']]
'Cotizaciones'!M7536,[[0.9]]
'Cotizaciones'!N7536,[['CASE']]
'Cotizaciones'!F7537,[['Z1INSSO10']]
'Cotizaciones'!M7537,[[0.94]]
'Cotizaciones'!N7537,[['Sistema operativo']]
'Cotizaciones'!F7538,[['Z1INSEQUI']]
'Cotizaciones'!M7538,[[1.0]]
'Cotizaciones'!N7538,[['Instalación']]
'Cotizaciones'!F7539,[['100-100000457BOX']]
'Cotizaciones'!M7539,[[1.0]]
'Cotizaciones'!N7539,[['CPU']]
'Cotizaciones'!F7540,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7540,[[1.0]]
'Cotizaciones'!N7540,[['MOBO']]
'Cotizaciones'!F7542,[['KF436C18BB/16']]
'Cotizaciones'!M7542,[[1.0]]
'Cotizaciones'!N7542,[['RAM']]
'Cotizaciones'!F7543,[['SNV2S/500G']]
'Cotizaciones'!M7543,[[0.95]]
'Cotizaciones'!N7543,[['SSD']]
'Cotizaciones'!F7545,[['BR-935982']]
'Cotizaciones'!M7545,[[0.9]]
'Cotizaciones'!N7545,[['CASE']]
'Cotizaciones'!F7546,[['Z1INSSO10']]
'Cotizaciones'!M7546,[[0.94]]
'Cotizaciones'!N7546,[['Sistema operativo']]
'Cotizaciones'!F7547,[['Z1INSEQUI']]
'Cotizaciones'!M7547,[[1.0]]
'Cotizaciones'!N7547,[['Instalación']]
'Cotizaciones'!F7550,[['BX8071513900KF']]
'Cotizaciones'!M7550,[[0.93]]
'Cotizaciones'!N7550,[['CPU']]
'Cotizaciones'!F7552,[['GV-N408SGAMING OC-16GD']]
'Cotizaciones'!M7552,[[0.97]]
'Cotizaciones'!N7552,[['GPU']]
'Cotizaciones'!F7553,[['KF556C40BB-32']]
'Cotizaciones'!M7553,[[1.0]]
'Cotizaciones'!N7553,[['RAM']]
'Cotizaciones'!F7554,[['SNV2S/1000G']]
'Cotizaciones'!M7554,[[0.95]]
'Cotizaciones'!N7554,[['SSD']]
'Cotizaciones'!F7556,[['MLW-D36M-A18PZ-R1']]
'Cotizaciones'!M7556,[[0.98]]
'Cotizaciones'!N7556,[['WATERC']]
'Cotizaciones'!F7557,[['0-761345-11761-6']]
'Cotizaciones'!M7557,[[0.99]]
'Cotizaciones'!N7557,[['PSU']]
'Cotizaciones'!F7558,[['TD500V2-WGNN-S00']]
'Cotizaciones'!M7558,[[0.91]]
'Cotizaciones'!N7558,[['CASE']]
'Cotizaciones'!F7559,[['Z1INSSO10']]
'Cotizaciones'!M7559,[[0.94]]
'Cotizaciones'!N7559,[['Sistema operativo']]
'Cotizaciones'!F7560,[['Z1INSEQUI']]
'Cotizaciones'!M7560,[[1.0]]
'Cotizaciones'!N7560,[['Instalación']]
'Cotizaciones'!F7561,[['100-100000457BOX']]
'Cotizaciones'!M7561,[[1.0]]
'Cotizaciones'!N7561,[['CPU']]
'Cotizaciones'!F7562,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7562,[[1.0]]
'Cotizaciones'!N7562,[['MOBO']]
'Cotizaciones'!F7563,[['RX6600 CLD 8G']]
'Cotizaciones'!M7563,[[0.99]]
'Cotizaciones'!N7563,[['GPU']]
'Cotizaciones'!F7565,[['SNV2S/500G']]
'Cotizaciones'!M7565,[[0.95]]
'Cotizaciones'!N7565,[['SSD']]
'Cotizaciones'!F7567,[['BR-936118']]
'Cotizaciones'!M7567,[[0.89]]
'Cotizaciones'!N7567,[['CASE']]
'Cotizaciones'!F7568,[['Z1INSSO10']]
'Cotizaciones'!M7568,[[1.0]]
'Cotizaciones'!N7568,[['Sistema operativo']]
'Cotizaciones'!F7569,[['Z1INSEQUI']]
'Cotizaciones'!M7569,[[1.0]]
'Cotizaciones'!N7569,[['Instalación']]
'Cotizaciones'!F7571,[['B760M DS3H AX DDR4']]
'Cotizaciones'!M7571,[[1.0]]
'Cotizaciones'!N7571,[['MOBO']]
'Cotizaciones'!F7573,[['KF436C18BB2AK2/32']]
'Cotizaciones'!M7573,[[1.0]]
'Cotizaciones'!N7573,[['RAM']]
'Cotizaciones'!F7574,[['BL.9BWWA.124']]
'Cotizaciones'!M7574,[[1.0]]
'Cotizaciones'!N7574,[['SSD']]
'Cotizaciones'!F7575,[['NH-U12S REDUX']]
'Cotizaciones'!M7575,[[1.0]]
'Cotizaciones'!N7575,[['AIRC']]
'Cotizaciones'!F7576,[['CP-9020295-NA']]
'Cotizaciones'!M7576,[[0.97]]
'Cotizaciones'!N7576,[['PSU']]
'Cotizaciones'!F7577,[['CA-1X2-00M1WN-01']]
'Cotizaciones'!M7577,[[0.91]]
'Cotizaciones'!N7577,[['CASE']]
'Cotizaciones'!F7578,[['Z1INSSO10']]
'Cotizaciones'!M7578,[[1.0]]
'Cotizaciones'!N7578,[['Sistema operativo']]
'Cotizaciones'!F7579,[['BR-938730']]
'Cotizaciones'!M7579,[[0.97]]
'Cotizaciones'!N7579,[['CASE']]
'Cotizaciones'!F7580,[['Z1INSSO10']]
'Cotizaciones'!M7580,[[1.0]]
'Cotizaciones'!N7580,[['Sistema operativo']]
'Cotizaciones'!F7581,[['Z1INSEQUI']]
'Cotizaciones'!M7581,[[1.0]]
'Cotizaciones'!N7581,[['Instalación']]
'Cotizaciones'!F7582,[['BX8071514400F']]
'Cotizaciones'!M7582,[[0.93]]
'Cotizaciones'!N7582,[['CPU']]
'Cotizaciones'!F7583,[['ROG MAXIMUS Z790 DARK HERO']]
'Cotizaciones'!M7583,[[0.97]]
'Cotizaciones'!N7583,[['MOBO']]
'Cotizaciones'!F7584,[['FF5D516G5200HC40C01']]
'Cotizaciones'!M7584,[[0.98]]
'Cotizaciones'!N7584,[['RAM']]
'Cotizaciones'!F7585,[['SNV2S/2000G']]
'Cotizaciones'!M7585,[[1.0]]
'Cotizaciones'!N7585,[['SSD']]
'Cotizaciones'!F7586,[['MLW-D24M-A18PS-R1']]
'Cotizaciones'!M7586,[[0.91]]
'Cotizaciones'!N7586,[['WATERC']]
'Cotizaciones'!F7588,[['100-100001503WOF']]
'Cotizaciones'!M7588,[[0.9]]
'Cotizaciones'!N7588,[['CPU']]
'Cotizaciones'!F7589,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7589,[[1.0]]
'Cotizaciones'!N7589,[['MOBO']]
'Cotizaciones'!F7591,[['KF436C18BB2AK2/32']]
'Cotizaciones'!M7591,[[1.0]]
'Cotizaciones'!N7591,[['RAM']]
'Cotizaciones'!F7592,[['SNV2S/1000G']]
'Cotizaciones'!M7592,[[0.95]]
'Cotizaciones'!N7592,[['SSD']]
'Cotizaciones'!F7593,[['MLW-D24M-A18PS-R1']]
'Cotizaciones'!M7593,[[0.92]]
'Cotizaciones'!N7593,[['WATERC']]
'Cotizaciones'!F7596,[['Z1INSSO10']]
'Cotizaciones'!M7596,[[1.0]]
'Cotizaciones'!N7596,[['Sistema operativo']]
'Cotizaciones'!F7597,[['XSPMG04B']]
'Cotizaciones'!M7597,[[0.98]]
'Cotizaciones'!N7597,[['MONITOR']]
'Cotizaciones'!F7598,[['100-100000457BOX']]
'Cotizaciones'!M7598,[[1.0]]
'Cotizaciones'!N7598,[['CPU']]
'Cotizaciones'!F7599,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7599,[[1.0]]
'Cotizaciones'!N7599,[['MOBO']]
'Cotizaciones'!F7602,[['SNV2S/1000G']]
'Cotizaciones'!M7602,[[0.95]]
'Cotizaciones'!N7602,[['SSD']]
'Cotizaciones'!F7604,[['BR-936118']]
'Cotizaciones'!M7604,[[0.89]]
'Cotizaciones'!N7604,[['CASE']]
'Cotizaciones'!F7605,[['Z1INSSO10']]
'Cotizaciones'!M7605,[[1.0]]
'Cotizaciones'!N7605,[['Sistema operativo']]
'Cotizaciones'!F7606,[['Z1INSEQUI']]
'Cotizaciones'!M7606,[[1.0]]
'Cotizaciones'!N7606,[['Instalación']]
'Cotizaciones'!F7607,[['100-100000457BOX']]
'Cotizaciones'!M7607,[[1.0]]
'Cotizaciones'!N7607,[['CPU']]
'Cotizaciones'!F7608,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7608,[[1.0]]
'Cotizaciones'!N7608,[['MOBO']]
'Cotizaciones'!F7609,[['RX6600 CLD 8G']]
'Cotizaciones'!M7609,[[0.99]]
'Cotizaciones'!N7609,[['GPU']]
'Cotizaciones'!F7610,[['AX4U320016G16A-SBKD35']]
'Cotizaciones'!M7610,[[1.0]]
'Cotizaciones'!N7610,[['RAM']]
'Cotizaciones'!F7611,[['SNV2S/500G']]
'Cotizaciones'!M7611,[[0.95]]
'Cotizaciones'!N7611,[['SSD']]
'Cotizaciones'!F7613,[['XZCGB12W']]
'Cotizaciones'!M7613,[[1.0]]
'Cotizaciones'!N7613,[['CASE']]
'Cotizaciones'!F7614,[['Z1INSSO10']]
'Cotizaciones'!M7614,[[1.0]]
'Cotizaciones'!N7614,[['Sistema operativo']]
'Cotizaciones'!F7615,[['XSMO277B']]
'Cotizaciones'!M7615,[[0.91]]
'Cotizaciones'!N7615,[['MONITOR']]
'Cotizaciones'!F7616,[['Z1INSEQUI']]
'Cotizaciones'!M7616,[[1.0]]
'Cotizaciones'!N7616,[['Instalación']]
'Cotizaciones'!F7617,[['100-100000147BOX']]
'Cotizaciones'!M7617,[[0.98]]
'Cotizaciones'!N7617,[['CPU']]
'Cotizaciones'!F7618,[['B550M PRO-VDH WIFI']]
'Cotizaciones'!M7618,[[1.0]]
'Cotizaciones'!N7618,[['MOBO']]
'Cotizaciones'!F7619,[['AX4U320016G16A-SBKD35']]
'Cotizaciones'!M7619,[[1.0]]
'Cotizaciones'!N7619,[['RAM']]
'Cotizaciones'!F7620,[['SNV2S/500G']]
'Cotizaciones'!M7620,[[0.95]]
'Cotizaciones'!N7620,[['SSD']]
'Cotizaciones'!F7622,[['XZCGB12W']]
'Cotizaciones'!M7622,[[1.0]]
'Cotizaciones'!N7622,[['CASE']]
'Cotizaciones'!F7623,[['Z1INSSO10']]
'Cotizaciones'!M7623,[[1.0]]
'Cotizaciones'!N7623,[['Sistema operativo']]
'Cotizaciones'!F7625,[['XSMO277B']]
'Cotizaciones'!M7625,[[0.91]]
'Cotizaciones'!N7625,[['MONITOR']]
'Cotizaciones'!F7626,[['100-100000926WOF']]
'Cotizaciones'!M7626,[[0.97]]
'Cotizaciones'!N7626,[['CPU']]
'Cotizaciones'!F7629,[['KF432C16BB2A/16']]
'Cotizaciones'!M7629,[[1.0]]
'Cotizaciones'!N7629,[['RAM']]
'Cotizaciones'!F7630,[['SNV2S/1000G']]
'Cotizaciones'!M7630,[[0.95]]
'Cotizaciones'!N7630,[['SSD']]
'Cotizaciones'!F7633,[['BR-938730']]
